,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,I Love It (& Lil Pump),Kanye West,4989832,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,In My Feelings,Drake,3842246,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
3,Lucky You (feat. Joyner Lucas),Eminem,3673656,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
4,Promises (with Sam Smith),Calvin Harris,3491483,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
5,Eastside (with Halsey & Khalid),benny blanco,3452605,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
6,Happier,Marshmello,3253084,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
7,In My Mind,Dynoro,3130607,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
8,Girls Like You (feat. Cardi B),Maroon 5,3040979,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
9,SICKO MODE,Travis Scott,2952374,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
10,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,2873419,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
11,Lucid Dreams,Juice WRLD,2861840,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
12,Be Alright,Dean Lewis,2539581,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
13,No Brainer,DJ Khaled,2515279,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
14,Taste (feat. Offset),Tyga,2415457,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
15,Electricity (with Dua Lipa),Silk City,2360813,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
16,SAD!,XXXTENTACION,2328885,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
17,I Like It,Cardi B,2286043,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
18,Vaina Loca,Ozuna,2213869,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
19,breathin,Ariana Grande,2162913,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
20,BEBE,6ix9ine,2135607,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
21,God is a woman,Ariana Grande,2095612,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
22,Rise,Jonas Blue,2091772,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
23,Better Now,Post Malone,2088840,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
24,Natural,Imagine Dragons,2086825,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
25,The Ringer,Eminem,2085761,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
26,Body (feat. brando),Loud Luxury,2052587,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
27,Youngblood,5 Seconds of Summer,1963996,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
28,Nonstop,Drake,1927307,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
29,Solo (feat. Demi Lovato),Clean Bandit,1920930,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
30,Moonlight,XXXTENTACION,1864608,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
31,Te Bot?? - Remix,Nio Garcia,1859390,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
32,Jackie Chan,Ti?®sto,1792693,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
33,Fall,Eminem,1767508,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
34,"Thunderclouds with Sia, Diplo & Labrinth",Sia,1693064,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
35,One Kiss (with Dua Lipa),Calvin Harris,1681761,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
36,Beautiful (feat. Camila Cabello),Bazzi,1666660,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
37,Shotgun,George Ezra,1649055,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
38,No Es Justo,J Balvin,1577918,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
39,Happy Now,Zedd,1562769,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
40,Sin Pijama,Becky G,1514385,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
41,Not Alike (feat. Royce Da 5'9),Eminem,1508846,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
42,God's Plan,Drake,1498619,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
43,Jocelyn Flores,XXXTENTACION,1492463,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
44,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,1433800,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
45,no tears left to cry,Ariana Grande,1424596,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
46,rockstar (feat. 21 Savage),Post Malone,1408851,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
47,STARGAZING,Travis Scott,1405642,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
48,Self Care,Mac Miller,1399669,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
49,Greatest,Eminem,1349757,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
50,changes,XXXTENTACION,1328793,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
51,Praise The Lord (Da Shine),A$AP Rocky,1296652,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
52,High Hopes,Panic! At The Disco,1263192,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
53,Cuando Te Bes??,Becky G,1257756,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
54,Psycho (feat. Ty Dolla $ign),Post Malone,1232383,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
55,Mala M??a,Maluma,1226356,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
56,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,1209897,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
57,Yes Indeed,Lil Baby,1192652,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
58,Kamikaze,Eminem,1190127,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
59,Quiere Beber,Anuel Aa,1160337,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
60,Shape of You,Ed Sheeran,1159493,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
61,Clandestino,Shakira,1151675,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
62,Fuck Love (feat. Trippie Redd),XXXTENTACION,1145442,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
63,Mo Bamba,Sheck Wes,1107958,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
64,Born To Be Yours,Kygo,1104126,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
65,2002,Anne-Marie,1097849,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
66,Nice For What,Drake,1096541,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
67,Nevermind,Dennis Lloyd,1095932,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
68,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,1085768,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
69,I'm a Mess,Bebe Rexha,1075359,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
70,SWISH,Tyga,1067134,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
71,Ocean (feat. Khalid),Martin Garrix,1065183,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
72,Noticed,Lil Mosey,1063686,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
73,No Me Acuerdo,Thal??a,1056078,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
74,Back To You - From 13 Reasons Why ƒ?? Season 2 Soundtrack,Selena Gomez,1054088,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
75,REMEDY,Alesso,1050474,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
76,Asesina,Brytiago,1030314,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
77,Believer,Imagine Dragons,1024089,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
78,Darkside,Alan Walker,1022491,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
79,IDGAF,Dua Lipa,1010957,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
80,Havana,Camila Cabello,988385,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
81,lovely (with Khalid),Billie Eilish,968320,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
82,New Rules,Dua Lipa,959047,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
83,Lean Wit Me,Juice WRLD,954633,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
84,High On Life (feat. Bonn),Martin Garrix,949487,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
85,RAP DEVIL,Machine Gun Kelly,944060,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
86,All Girls Are The Same,Juice WRLD,933148,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
87,Thunder,Imagine Dragons,930131,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
88,Me Niego,Reik,928237,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
89,Amigos Con Derechos,Reik,920187,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
90,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,917283,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
91,FRIENDS,Marshmello,915949,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
92,The Middle,Zedd,913682,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
93,Look Alive (feat. Drake),BlocBoy JB,913521,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
94,Perfect,Ed Sheeran,905867,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
95,Love Lies (with Normani),Khalid,892559,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
96,X - Remix,Nicky Jam,888546,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
97,La Player (Bandolera),Zion & Lennox,885327,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
98,Normal,Eminem,881338,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
99,Toda - Remix,Alex Rose,869779,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
100,Venom - Music From The Motion Picture,Eminem,868586,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
