,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",1826642,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"SICKO MODE","Travis Scott",1538098,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
3,"Lucky You (feat. Joyner Lucas)",Eminem,1397730,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
4,"Lucid Dreams","Juice WRLD",1355881,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
5,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1338440,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
6,"In My Feelings",Drake,1112129,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
7,Nonstop,Drake,1065209,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
8,SAD!,XXXTENTACION,1020883,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
9,Happier,Marshmello,958368,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,Moonlight,XXXTENTACION,950532,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
11,"Taste (feat. Offset)",Tyga,918398,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
12,"Eastside (with Halsey & Khalid)","benny blanco",881654,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
13,"Yes Indeed","Lil Baby",861095,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
14,"Better Now","Post Malone",848046,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
15,"Self Care","Mac Miller",831667,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
16,"Mo Bamba","Sheck Wes",820172,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
17,"The Ringer",Eminem,805960,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
18,STARGAZING,"Travis Scott",754946,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
19,"I Like It","Cardi B",737531,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
20,breathin,"Ariana Grande",686561,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
21,"Jocelyn Flores",XXXTENTACION,675896,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
22,"Girls Like You (feat. Cardi B)","Maroon 5",674354,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
23,"No Brainer","DJ Khaled",667057,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
24,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,660980,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
25,"Promises (with Sam Smith)","Calvin Harris",659805,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
26,Noticed,"Lil Mosey",650973,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
27,"Lean Wit Me","Juice WRLD",645442,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
28,Natural,"Imagine Dragons",636949,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
29,"All Girls Are The Same","Juice WRLD",625001,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
30,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,624935,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
31,"Not Alike (feat. Royce Da 5'9)",Eminem,622471,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
32,"Electricity (with Dua Lipa)","Silk City",610295,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
33,"God is a woman","Ariana Grande",609142,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
34,Fall,Eminem,598301,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
35,"Be Alright","Dean Lewis",593786,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
36,"Psycho (feat. Ty Dolla $ign)","Post Malone",592594,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
37,Youngblood,"5 Seconds of Summer",572107,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
38,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",570653,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
39,"God's Plan",Drake,567025,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
40,changes,XXXTENTACION,554688,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
41,"Nice For What",Drake,537379,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
42,"Drip Too Hard","Lil Baby",533329,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3
43,Greatest,Eminem,526793,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
44,"rockstar (feat. 21 Savage)","Post Malone",526523,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
